Date,TransportType,Route,DepartureTime,ArrivalTime,Passengers,DepartureStation,ArrivalStation,Delay
2023-05-01,Train,Route_4,19:15,21:31,78,Station_5,Station_1,39
2023-05-01,Metro,Route_9,06:55,08:29,22,Station_7,Station_15,36
2023-05-01,Tram,Route_2,19:17,21:27,47,Station_10,Station_18,44
2023-05-01,Train,Route_10,18:24,19:17,25,Station_9,Station_11,26
2023-05-01,Tram,Route_5,08:51,11:12,94,Station_15,Station_3,25
2023-05-01,Metro,Route_5,15:22,16:35,24,Station_8,Station_14,44
2023-05-01,Metro,Route_5,11:31,14:21,94,Station_6,Station_8,66
2023-05-01,Bus,Route_10,20:37,22:13,65,Station_14,Station_2,36
2023-05-01,Train,Route_8,13:12,14:33,52,Station_2,Station_11,28
2023-05-01,Tram,Route_8,06:07,07:41,44,Station_17,Station_3,56
2023-05-01,Bus,Route_5,09:59,10:43,89,Station_4,Station_2,20
2023-05-01,Tram,Route_5,05:46,06:40,79,Station_13,Station_13,49
2023-05-01,Tram,Route_9,12:49,14:53,95,Station_14,Station_16,19
2023-05-01,Train,Route_8,15:20,16:43,96,Station_1,Station_11,33
2023-05-01,Metro,Route_3,19:03,20:40,66,Station_9,Station_13,57
2023-05-01,Train,Route_6,09:03,12:00,23,Station_5,Station_18,67
2023-05-01,Train,Route_10,09:00,10:09,40,Station_11,Station_5,50
2023-05-01,Tram,Route_9,12:17,14:18,84,Station_8,Station_11,48
2023-05-01,Bus,Route_8,10:40,11:59,74,Station_3,Station_17,41
2023-05-01,Tram,Route_8,16:29,17:47,51,Station_13,Station_5,23
2023-05-01,Tram,Route_5,15:43,17:17,11,Station_18,Station_16,41
2023-05-01,Tram,Route_8,08:32,11:39,5,Station_11,Station_13,71
2023-05-01,Tram,Route_1,20:59,22:41,36,Station_13,Station_20,62
2023-05-01,Tram,Route_10,09:39,11:58,66,Station_9,Station_5,50
2023-05-01,Metro,Route_2,16:34,18:50,2,Station_7,Station_13,50
2023-05-01,Tram,Route_7,15:03,16:35,56,Station_10,Station_11,54
2023-05-01,Bus,Route_5,19:08,22:10,68,Station_6,Station_3,62
2023-05-01,Tram,Route_6,14:00,14:40,12,Station_20,Station_17,29
2023-05-01,Tram,Route_7,11:54,13:53,76,Station_12,Station_7,67
2023-05-01,Tram,Route_3,05:52,08:20,78,Station_20,Station_20,45
2023-05-01,Train,Route_2,19:00,20:59,24,Station_18,Station_19,26
2023-05-01,Metro,Route_9,11:11,12:28,13,Station_16,Station_2,26
2023-05-02,Tram,Route_3,10:51,11:24,40,Station_17,Station_18,14
2023-05-02,Train,Route_4,16:08,17:00,19,Station_19,Station_11,14
2023-05-02,Tram,Route_4,10:05,10:27,22,Station_14,Station_16,2
2023-05-02,Metro,Route_3,15:59,16:32,29,Station_5,Station_14,5
2023-05-02,Tram,Route_1,18:39,20:05,36,Station_12,Station_9,10
2023-05-02,Train,Route_1,06:38,08:22,56,Station_6,Station_12,5
2023-05-02,Tram,Route_10,14:24,15:42,87,Station_11,Station_13,14
2023-05-02,Metro,Route_6,13:11,13:44,11,Station_7,Station_16,5
