Date,TransportType,Route,DepartureTime,ArrivalTime,Passengers,DepartureStation,ArrivalStation,Delay
2023-03-01,Bus,Route_3,17:47,19:39,24,Station_3,Station_12,7
2023-03-01,Train,Route_3,08:08,09:57,85,Station_14,Station_8,0
2023-03-01,Bus,Route_10,19:33,20:14,52,Station_19,Station_20,2
2023-03-01,Tram,Route_5,19:12,20:08,96,Station_4,Station_20,5
2023-03-01,Tram,Route_7,19:17,20:51,65,Station_10,Station_2,8
2023-03-01,Tram,Route_6,11:33,12:40,91,Station_18,Station_10,1
2023-03-01,Tram,Route_3,08:27,08:32,19,Station_15,Station_10,1
2023-03-01,Train,Route_6,17:13,17:18,80,Station_7,Station_4,3
2023-03-01,Train,Route_10,05:34,05:58,4,Station_12,Station_15,10
2023-03-01,Bus,Route_2,14:30,15:27,9,Station_3,Station_19,7
2023-03-01,Bus,Route_3,15:23,16:54,51,Station_18,Station_7,1
2023-03-01,Metro,Route_8,07:04,07:29,99,Station_17,Station_11,2
2023-03-01,Tram,Route_10,11:11,12:18,78,Station_8,Station_16,15
2023-03-01,Bus,Route_6,18:25,19:32,80,Station_12,Station_11,10
2023-03-01,Train,Route_4,05:02,06:21,88,Station_5,Station_9,6
2023-03-01,Bus,Route_8,14:55,15:29,69,Station_2,Station_2,14
2023-03-01,Bus,Route_6,21:02,22:28,19,Station_19,Station_5,1
2023-03-01,Bus,Route_1,12:00,13:43,55,Station_16,Station_1,9
2023-03-01,Metro,Route_3,06:42,07:34,47,Station_3,Station_12,11
2023-03-01,Bus,Route_5,09:32,10:59,84,Station_11,Station_14,4
2023-03-01,Metro,Route_6,08:54,09:31,70,Station_18,Station_6,7
2023-03-01,Train,Route_3,15:41,15:57,38,Station_20,Station_14,13
2023-03-01,Metro,Route_7,08:30,09:10,51,Station_12,Station_9,12
2023-03-01,Bus,Route_1,16:08,17:17,67,Station_1,Station_16,15
2023-03-01,Train,Route_7,21:55,24:01,76,Station_20,Station_4,6
2023-03-01,Train,Route_5,17:32,18:56,7,Station_18,Station_19,12
2023-03-01,Metro,Route_10,06:57,07:53,80,Station_4,Station_11,2
2023-03-01,Tram,Route_3,14:51,16:17,62,Station_9,Station_15,2
2023-03-01,Metro,Route_6,16:07,16:33,82,Station_11,Station_15,6
2023-03-01,Bus,Route_4,14:35,16:38,16,Station_12,Station_1,7
2023-03-01,Bus,Route_3,05:11,05:52,72,Station_15,Station_13,6
2023-03-01,Tram,Route_4,14:08,14:52,47,Station_15,Station_5,8
2023-03-02,Train,Route_8,13:26,14:54,40,Station_3,Station_1,13
2023-03-02,Train,Route_1,05:18,06:42,74,Station_8,Station_10,11
2023-03-02,Tram,Route_7,10:26,12:22,26,Station_17,Station_20,11
2023-03-02,Train,Route_8,12:55,13:36,43,Station_2,Station_4,15
2023-03-02,Metro,Route_6,20:11,21:16,77,Station_19,Station_4,11
2023-03-02,Metro,Route_1,06:28,07:01,18,Station_15,Station_16,5
2023-03-02,Bus,Route_4,10:36,12:07,27,Station_6,Station_10,11
2023-03-02,Train,Route_3,11:53,13:22,6,Station_1,Station_20,10
2023-03-02,Metro,Route_8,16:01,17:52,60,Station_4,Station_20,8
2023-03-02,Train,Route_1,14:33,15:27,45,Station_1,Station_7,0
2023-03-02,Tram,Route_10,18:25,19:34,47,Station_18,Station_10,10
2023-03-02,Bus,Route_10,20:43,22:39,42,Station_20,Station_17,10
2023-03-02,Bus,Route_4,09:10,10:55,38,Station_20,Station_14,13
2023-03-02,Train,Route_1,11:44,13:16,33,Station_10,Station_2,14
2023-03-02,Train,Route_3,14:48,16:32,5,Station_5,Station_20,6
2023-03-02,Tram,Route_7,07:19,09:26,8,Station_6,Station_8,9
2023-03-02,Bus,Route_8,06:31,08:18,39,Station_7,Station_17,7
2023-03-02,Tram,Route_3,09:40,11:10,3,Station_2,Station_12,4
2023-03-02,Bus,Route_4,19:18,19:38,39,Station_11,Station_20,9
2023-03-02,Metro,Route_4,09:39,11:43,31,Station_6,Station_20,7
2023-03-02,Train,Route_9,18:58,20:31,93,Station_11,Station_20,10
2023-03-02,Tram,Route_3,15:51,17:26,73,Station_12,Station_4,8
2023-03-02,Train,Route_1,17:40,18:28,21,Station_16,Station_8,11
2023-03-02,Tram,Route_7,16:00,17:06,67,Station_3,Station_14,12
2023-03-02,Metro,Route_7,11:52,12:26,69,Station_7,Station_2,1
2023-03-02,Bus,Route_10,10:54,12:50,76,Station_1,Station_8,1
2023-03-02,Bus,Route_2,08:24,09:06,91,Station_5,Station_4,2
2023-03-02,Metro,Route_6,15:33,16:06,60,Station_19,Station_8,0
2023-03-02,Tram,Route_1,07:30,09:14,17,Station_2,Station_13,8
2023-03-02,Bus,Route_10,18:17,19:25,63,Station_14,Station_5,13
2023-03-02,Tram,Route_2,11:48,13:23,74,Station_4,Station_15,9
2023-03-02,Metro,Route_4,08:31,10:19,81,Station_9,Station_2,11
2023-03-03,Tram,Route_10,16:44,18:02,71,Station_14,Station_7,0
2023-03-03,Metro,Route_1,17:30,17:46,38,Station_9,Station_17,1
2023-03-03,Bus,Route_5,12:57,14:04,58,Station_4,Station_12,3
2023-03-03,Tram,Route_8,19:25,20:46,67,Station_9,Station_6,10
2023-03-03,Bus,Route_9,05:11,06:15,86,Station_9,Station_7,2
2023-03-03,Train,Route_5,09:46,11:23,46,Station_1,Station_8,12
2023-03-03,Tram,Route_1,05:46,07:34,17,Station_10,Station_10,7
2023-03-03,Metro,Route_6,20:45,21:26,56,Station_4,Station_9,1
2023-03-03,Metro,Route_6,22:40,24:25,39,Station_2,Station_19,5
2023-03-03,Train,Route_7,17:43,19:33,94,Station_2,Station_20,4
2023-03-03,Tram,Route_8,16:56,17:47,97,Station_7,Station_15,13
2023-03-03,Metro,Route_9,10:27,11:47,46,Station_17,Station_11,13
2023-03-03,Tram,Route_6,10:01,10:52,94,Station_12,Station_16,2
2023-03-03,Metro,Route_8,17:56,19:28,9,Station_20,Station_5,2
2023-03-03,Metro,Route_7,22:33,23:39,20,Station_14,Station_20,5
2023-03-03,Bus,Route_9,13:09,14:28,78,Station_12,Station_15,3
2023-03-03,Metro,Route_3,17:46,19:46,1,Station_8,Station_8,0
2023-03-03,Metro,Route_1,13:05,13:53,49,Station_19,Station_7,4
2023-03-03,Tram,Route_8,07:09,07:21,14,Station_11,Station_6,11
2023-03-03,Metro,Route_4,21:28,22:21,72,Station_4,Station_17,3
2023-03-03,Metro,Route_4,11:53,12:45,15,Station_15,Station_3,6
2023-03-03,Bus,Route_4,06:35,07:57,27,Station_14,Station_13,9
2023-03-03,Bus,Route_4,22:54,23:34,10,Station_17,Station_18,5
2023-03-03,Train,Route_6,12:50,14:09,18,Station_5,Station_16,9
2023-03-03,Metro,Route_3,07:19,08:57,4,Station_1,Station_18,10
2023-03-03,Tram,Route_8,05:12,06:53,28,Station_4,Station_19,4
2023-03-03,Train,Route_3,12:58,14:26,73,Station_20,Station_15,10
2023-03-03,Tram,Route_2,05:04,06:39,13,Station_8,Station_7,7
2023-03-03,Train,Route_10,18:59,19:30,14,Station_2,Station_7,2
2023-03-03,Tram,Route_3,14:47,16:06,5,Station_19,Station_5,15
2023-03-03,Tram,Route_2,15:30,17:36,8,Station_13,Station_16,13
2023-03-03,Metro,Route_4,09:18,11:20,27,Station_4,Station_12,14
2023-03-04,Bus,Route_2,18:34,19:41,93,Station_17,Station_17,0
2023-03-04,Train,Route_8,06:00,07:23,54,Station_3,Station_17,10
2023-03-04,Metro,Route_5,08:27,08:55,13,Station_1,Station_17,1
2023-03-04,Metro,Route_2,15:12,15:38,91,Station_20,Station_20,5
2023-03-04,Tram,Route_10,09:24,11:27,21,Station_2,Station_17,15
2023-03-04,Metro,Route_2,16:45,17:40,20,Station_4,Station_19,7
